Name,Location,Price,Cuisine,Longitude,Latitude,Award,GreenStar,FacilitiesAndServices,Stars,Country
ES:SENZ,"Grassau, Germany",4,"Creative, Modern Cuisine",12.4656176,47.7856302,3 Stars,0,"Air conditioning,Car park,Interesting wine list",threeStar,Germany
Tohru in der Schreiberei,"Munich, Germany",4,"Modern Cuisine, Japanese Contemporary",11.577475,48.137597,3 Stars,0,"Interesting wine list,Notable sake list",threeStar,Germany
Schwarzwaldstube,"Baiersbronn, Germany",4,"Classic French, Creative",8.3582803,48.5369113,3 Stars,0,"Air conditioning,Car park,Great view,Interesting wine list,Wheelchair access",threeStar,Germany
Victor's Fine Dining by christian bau,"Perl, Germany",4,"Creative, Contemporary",6.3872109,49.5351732,3 Stars,0,"Air conditioning,Car park,Interesting wine list,Notable sake list",threeStar,Germany
Aqua,"Wolfsburg, Germany",4,"Creative, Modern Cuisine",10.7899785,52.4328494,3 Stars,0,"Air conditioning,Car park,Interesting wine list,Valet parking,Wheelchair access",threeStar,Germany
schanz. restaurant.,"Piesport, Germany",4,"Modern French, Creative",6.9266002,49.8776003,3 Stars,0,"Air conditioning,Car park,Wheelchair access",threeStar,Germany
Restaurant Haerlin,"Hamburg, Germany",4,"Creative French, Classic Cuisine",9.9914638,53.5554424,3 Stars,0,"Air conditioning,Great view,Interesting wine list,Wheelchair access",threeStar,Germany
The Table Kevin Fehling,"Hamburg, Germany",4,"Creative, International",10.0028597,53.5426398,3 Stars,0,"Air conditioning,Counter dining",threeStar,Germany
Waldhotel Sonnora,"Dreis, Germany",4,Classic French,6.8109342,49.9377323,3 Stars,0,"Car park,Garden or park,Interesting wine list",threeStar,Germany
JAN,"Munich, Germany",4,"Creative, Modern Cuisine",11.5629878,48.1447975,3 Stars,0,Interesting wine list,threeStar,Germany
Restaurant Bareiss,"Baiersbronn, Germany",4,"Classic French, Seasonal Cuisine",8.3268245,48.5201324,3 Stars,0,"Air conditioning,Car park,Interesting wine list,Wheelchair access",threeStar,Germany
Rutz,"Berlin, Germany",4,"Modern Cuisine, Creative",13.3860867,52.5283507,3 Stars,1,"Air conditioning,Interesting wine list,Terrace",threeStar,Germany
Maaemo,"Oslo, Norway",4,Creative,10.7586363,59.9075293,3 Stars,1,"Air conditioning,Interesting wine list",threeStar,Norway
RE-NAA,"Stavanger, Norway",4,"Creative, Seafood",5.7308447,58.9739705,3 Stars,0,"Air conditioning,Interesting wine list,Wheelchair access",threeStar,Norway
Frantzén,"Stockholm, Sweden",4,Creative,18.0597575,59.3341673,3 Stars,0,"Air conditioning,Counter dining,Interesting wine list",threeStar,Sweden
Jordnær,"Gentofte, Denmark",4,Creative,12.5412347,55.7481416,3 Stars,0,"Car park,Interesting wine list",threeStar,Denmark
Geranium,"Copenhagen, Denmark",4,"Creative, Contemporary",12.5720951,55.703472,3 Stars,0,"Air conditioning,Great view,Interesting wine list,Wheelchair access",threeStar,Denmark
Hiša Franko,"Kobarid, Slovenia",4,"Creative, Regional Cuisine",13.5378132,46.247312,3 Stars,1,"Air conditioning,Car park,Interesting wine list,Wheelchair access",threeStar,Slovenia
Trèsind Studio,Dubai,4,Indian,55.1391176,25.114932,3 Stars,0,"Air conditioning,Valet parking",threeStar,Dubai
Grande Étoile,"Düsseldorf, Germany",3,"Modern Cuisine, French",6.775079,51.221634,Selected Restaurants,0,"Air conditioning,Terrace",selectedRestaurants,Germany
Goldener Engel,"Ihringen, Germany",2,Regional Cuisine,7.6472096,48.0439756,Selected Restaurants,0,"Car park,Credit cards not accepted,Terrace",selectedRestaurants,Germany
Chiemgauhof,"Übersee, Germany",3,"Farm to table, Regional Cuisine",12.4757464,47.8468221,Selected Restaurants,0,"Air conditioning,Car park,Great view,Terrace,Wheelchair access",selectedRestaurants,Germany
Chefs Atelier,"Essen, Germany",4,"Creative, Seasonal Cuisine",6.9957349,51.3836464,1 Star,0,Car park,oneStar,Germany
FZN by Björn Frantzén,Dubai,4,Modern Cuisine,55.1182319,25.1320377,3 Stars,0,"Air conditioning,Car park,Counter dining,Interesting wine list,Valet parking,Wheelchair access",threeStar,Dubai
Boury,"Roeselare, Belgium",4,Creative French,3.1403981,50.9374466,3 Stars,0,"Air conditioning,Car park,Garden or park,Interesting wine list",threeStar,Belgium
Zilte,"Antwerpen, Belgium",4,Creative,4.4047543,51.228828,3 Stars,0,"Air conditioning,Great view,Interesting wine list,Wheelchair access",threeStar,Belgium
Le Louis XV - Alain Ducasse à l'Hôtel de Paris,"Monaco, Principality of Monaco",4,"Mediterranean Cuisine, Modern Cuisine",7.4271047,43.7391839,3 Stars,0,"Air conditioning,Interesting wine list,Terrace,Valet parking,Wheelchair access",threeStar,Principality of Monaco
L'Ambroisie,"Paris, France",4,Classic Cuisine,2.3645215,48.855494,3 Stars,0,Air conditioning,threeStar,France
Flocons de Sel,"Megève, France",4,Modern Cuisine,6.5969625,45.8302404,3 Stars,0,"Car park,Garden or park,Great view,Interesting wine list,Valet parking,Wheelchair access",threeStar,France
Épicure,"Paris, France",4,Modern Cuisine,2.3145978,48.8717223,3 Stars,0,"Air conditioning,Interesting wine list,Terrace,Valet parking,Wheelchair access",threeStar,France
Arpège,"Paris, France",4,Creative,2.3170127,48.8557538,3 Stars,1,"Air conditioning,Interesting wine list",threeStar,France
Le Pré Catelan,"Paris, France",4,"Creative, Contemporary",2.2507182,48.8639374,3 Stars,0,"Air conditioning,Car park,Garden or park,Interesting wine list,Valet parking,Wheelchair access",threeStar,France
Le Cinq,"Paris, France",4,Modern Cuisine,2.3008612,48.8687604,3 Stars,0,"Air conditioning,Interesting wine list,Valet parking,Wheelchair access",threeStar,France
Le Petit Nice,"Marseille, France",4,Seafood,5.3520484,43.2802565,3 Stars,0,"Air conditioning,Car park,Great view,Interesting wine list,Terrace,Wheelchair access",threeStar,France
